2025-06-15 01:53:52.264 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 01:53:52.265 | INFO     | __main__:<module>:34 - Очистка ресурсов...
2025-06-15 01:54:24.703 | INFO     | __main__:<module>:30 - Бот запущен!
2025-06-15 01:54:24.717 | INFO     | __main__:<module>:35 - Очистка ресурсов...
2025-06-15 01:54:53.997 | INFO     | __main__:<module>:30 - Бот запущен!
2025-06-15 02:01:22.911 | WARNING  | __main__:<module>:33 - Бот остановлен пользователем. Завершаем работу...
2025-06-15 02:01:22.911 | INFO     | __main__:<module>:35 - Очистка ресурсов...
2025-06-15 02:01:25.948 | INFO     | __main__:<module>:30 - Бот запущен!
2025-06-15 02:07:02.297 | WARNING  | __main__:<module>:33 - Бот остановлен пользователем. Завершаем работу...
2025-06-15 02:07:02.297 | INFO     | __main__:<module>:35 - Очистка ресурсов...
2025-06-15 03:27:14.039 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 03:32:19.283 | WARNING  | __main__:<module>:32 - Бот остановлен пользователем. Завершение работу...
2025-06-15 03:32:19.283 | INFO     | __main__:<module>:34 - Очистка ресурсов...
2025-06-15 03:35:51.292 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 03:36:48.012 | WARNING  | __main__:<module>:32 - Бот остановлен пользователем. Завершение работу...
2025-06-15 03:36:48.012 | INFO     | __main__:<module>:34 - Очистка ресурсов...
2025-06-15 03:46:42.630 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 03:49:21.709 | WARNING  | __main__:<module>:32 - Бот остановлен пользователем. Завершение работу...
2025-06-15 03:49:21.710 | INFO     | __main__:<module>:34 - Очистка ресурсов...
2025-06-15 03:49:25.626 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 03:54:44.950 | WARNING  | __main__:<module>:32 - Бот остановлен пользователем. Завершение работу...
2025-06-15 03:54:44.951 | INFO     | __main__:<module>:34 - Очистка ресурсов...
2025-06-15 03:54:48.840 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 03:54:49.994 | WARNING  | __main__:<module>:32 - Бот остановлен пользователем. Завершение работу...
2025-06-15 03:54:49.994 | INFO     | __main__:<module>:34 - Очистка ресурсов...
2025-06-15 05:00:18.655 | INFO     | __main__:<module>:29 - Бот запущен!
2025-06-15 05:04:16.017 | WARNING  | __main__:<module>:32 - Бот остановлен пользователем. Завершение работу...
2025-06-15 05:04:16.017 | INFO     | __main__:<module>:34 - Очистка ресурсов...
